draw_id,draw_time,hour,number_1,number_2,number_3,number_4,number_5,number_6,number_7,number_8,number_9,number_10,number_11,number_12,number_13,number_14,number_15,number_16,number_17,number_18,number_19,number_20
1095984,1970-01-01 00:28:37.974600,0,52,69,24,50,25,60,65,53,55,18,76,73,20,39,67,6,45,5,54,1
1096281,1970-01-01 00:28:38.063700,0,13,33,45,12,56,63,26,50,28,11,70,78,58,41,8,4,5,60,71,51
1096280,1970-01-01 00:28:38.063400,0,14,17,73,1,25,18,67,64,8,68,33,2,45,31,5,37,10,30,22,23
1096279,1970-01-01 00:28:38.063100,0,31,67,61,65,15,16,60,54,35,3,1,30,68,7,77,46,57,66,51,75
1096278,1970-01-01 00:28:38.062800,0,1,60,78,39,58,24,43,14,67,28,5,36,40,45,70,50,55,68,37,31
1096277,1970-01-01 00:28:38.062500,0,24,10,12,46,52,67,27,9,45,62,63,17,38,58,60,14,23,74,28,16
1096276,1970-01-01 00:28:38.062200,0,4,10,78,27,22,31,52,9,65,40,8,72,54,43,80,13,1,77,15,26
1096275,1970-01-01 00:28:38.061900,0,50,14,73,60,54,46,52,7,77,30,79,28,31,42,21,64,38,74,53,11
1096274,1970-01-01 00:28:38.061600,0,40,68,62,10,42,15,72,14,80,17,34,36,1,78,70,73,69,77,32,7
1096273,1970-01-01 00:28:38.061300,0,22,10,19,24,56,11,26,27,3,16,34,54,30,66,69,40,17,68,44,77
1096272,1970-01-01 00:28:38.061000,0,14,46,22,52,56,80,27,31,21,35,55,74,17,77,60,2,18,3,30,69
1096569,1970-01-01 00:28:38.150100,0,4,31,16,25,2,20,77,24,43,55,40,46,75,30,68,56,22,44,37,74
1096568,1970-01-01 00:28:38.149800,0,2,56,57,43,75,6,12,39,14,9,55,66,61,22,29,45,3,20,68,4
1096567,1970-01-01 00:28:38.149500,0,46,40,34,52,67,15,32,11,27,6,57,55,45,60,23,4,71,79,13,62
1096566,1970-01-01 00:28:38.149200,0,73,8,52,9,30,51,41,43,60,49,31,44,66,69,59,61,48,10,46,70
1096565,1970-01-01 00:28:38.148900,0,19,57,66,74,76,10,59,51,64,22,24,6,46,28,68,50,75,35,14,65
1096564,1970-01-01 00:28:38.148600,0,37,59,14,1,42,44,3,78,25,7,16,47,12,22,68,2,63,60,9,10
1096563,1970-01-01 00:28:38.148300,0,23,70,49,69,41,73,65,15,54,50,4,38,9,35,28,56,58,60,19,2
1096562,1970-01-01 00:28:38.148000,0,33,27,31,14,34,28,5,55,6,18,49,74,75,64,10,80,48,68,16,56
1096561,1970-01-01 00:28:38.147700,0,8,45,55,13,21,51,18,27,76,3,41,77,63,42,50,64,24,26,4,73
1096560,1970-01-01 00:28:38.147400,0,80,32,44,65,35,34,5,22,40,49,57,59,8,50,74,17,42,60,11,33
1096857,1970-01-01 00:28:38.236500,0,31,57,73,22,34,18,77,37,68,38,76,55,51,2,62,14,80,32,67,10
1096856,1970-01-01 00:28:38.236200,0,10,80,31,39,47,38,25,53,13,63,35,6,5,57,71,60,56,72,51,66
1096855,1970-01-01 00:28:38.235900,0,23,73,45,57,66,58,33,25,71,76,56,10,80,36,26,77,60,22,9,27
1096854,1970-01-01 00:28:38.235600,0,30,5,58,11,44,41,54,61,67,42,8,36,70,62,59,16,13,53,68,4
1096853,1970-01-01 00:28:38.235300,0,53,10,4,47,79,59,40,72,69,48,63,35,44,57,68,16,22,29,28,42
1096852,1970-01-01 00:28:38.235000,0,28,22,60,39,35,40,53,21,51,78,75,10,30,12,1,11,76,8,63,56
1096851,1970-01-01 00:28:38.234700,0,68,39,56,73,51,16,75,12,77,23,54,6,76,50,52,30,10,31,42,55
1096850,1970-01-01 00:28:38.234400,0,23,42,54,35,10,65,18,69,8,60,13,46,22,38,16,41,66,78,52,44
1096849,1970-01-01 00:28:38.234100,0,71,27,54,75,49,59,9,29,20,39,23,53,60,61,33,13,57,72,58,32
1096848,1970-01-01 00:28:38.233800,0,29,72,59,37,18,53,41,10,78,58,15,19,62,76,3,74,21,43,20,16
1097145,1970-01-01 00:28:38.322900,0,19,29,34,58,15,13,1,16,67,60,20,47,11,26,63,80,31,23,9,17
1097144,1970-01-01 00:28:38.322600,0,11,40,46,55,4,22,19,38,52,6,3,53,50,71,51,66,63,33,75,18
1097143,1970-01-01 00:28:38.322300,0,28,42,9,70,18,33,3,79,16,1,71,47,61,43,13,24,76,2,35,29
1097142,1970-01-01 00:28:38.322000,0,35,66,59,53,28,40,10,45,69,47,50,75,32,72,14,38,12,18,71,2
1097141,1970-01-01 00:28:38.321700,0,66,8,32,76,72,43,57,4,47,59,30,21,80,27,79,26,25,50,62,22
1097140,1970-01-01 00:28:38.321400,0,36,33,42,47,15,78,27,41,57,30,38,44,39,32,18,24,55,7,12,58
1097139,1970-01-01 00:28:38.321100,0,61,47,9,80,19,21,17,62,53,11,67,30,49,31,33,68,71,73,58,37
1097138,1970-01-01 00:28:38.320800,0,51,71,17,55,56,38,25,60,46,79,3,41,21,8,58,37,65,10,44,39
1097137,1970-01-01 00:28:38.320500,0,49,3,78,38,44,2,10,4,43,37,20,9,60,67,71,25,54,69,26,56
1097136,1970-01-01 00:28:38.320200,0,75,15,29,53,80,57,61,69,74,35,8,78,10,24,47,21,32,48,3,65
1097433,1970-01-01 00:28:38.409300,0,49,80,12,73,62,27,66,31,24,79,61,57,13,17,68,44,26,20,76,52
1097432,1970-01-01 00:28:38.409000,0,52,59,72,21,71,16,24,44,65,13,49,54,43,17,27,1,11,61,78,37
1097431,1970-01-01 00:28:38.408700,0,6,61,75,55,74,69,63,70,31,12,26,58,62,9,41,39,42,47,40,38
1097430,1970-01-01 00:28:38.408400,0,53,44,22,12,50,43,49,45,21,61,68,3,20,11,58,35,6,55,71,59
1097429,1970-01-01 00:28:38.408100,0,46,23,79,71,45,2,67,21,9,35,39,4,30,15,14,68,66,11,25,38
1097428,1970-01-01 00:28:38.407800,0,39,25,61,51,38,16,60,74,63,55,66,18,67,71,70,76,50,11,9,78
1097427,1970-01-01 00:28:38.407500,0,22,28,25,51,49,10,13,67,74,41,70,65,12,38,1,59,45,20,58,37
1097426,1970-01-01 00:28:38.407200,0,66,64,79,5,58,56,7,50,20,53,80,33,37,3,75,77,71,2,14,63
1097425,1970-01-01 00:28:38.406900,0,9,17,38,8,4,73,49,29,3,79,34,23,57,74,26,47,39,11,53,35
1097424,1970-01-01 00:28:38.406600,0,34,12,51,80,46,73,26,60,19,22,1,61,75,44,71,11,78,42,29,68
1097721,1970-01-01 00:28:38.495700,0,20,4,58,46,29,30,15,48,73,10,37,57,6,78,27,59,41,19,60,76
1097720,1970-01-01 00:28:38.495400,0,2,55,65,68,34,11,7,28,8,23,22,35,79,4,10,20,37,57,48,75
1097719,1970-01-01 00:28:38.495100,0,51,55,49,38,64,43,79,15,23,18,74,14,61,41,58,32,6,31,68,77
1097718,1970-01-01 00:28:38.494800,0,57,67,53,20,13,15,52,62,55,42,23,11,37,44,31,41,17,28,77,76
1097717,1970-01-01 00:28:38.494500,0,52,32,26,31,1,10,15,66,40,63,27,59,45,17,51,29,56,23,55,68
